DISTSIM_BENCH.active_cores,DISTSIM_BENCH.benchmark_grp,DISTSIM_BENCH.benchtime_ms
2,1532478323,1.53248E+12
2,1532480700,1.53248E+12
2,1532481233,1.53248E+12
2,1532481233,1.53248E+12
2,1532481233,1.53248E+12
2,1532481233,1.53248E+12
2,1532481233,1.53248E+12
2,1532481233,1.53248E+12
2,1532481233,1.53248E+12
2,1532481233,1.53248E+12
2,1532481233,1.53248E+12
2,1532481233,1.53249E+12
2,1532481233,1.53249E+12
2,1532481233,1.53249E+12
2,1532481233,1.53249E+12
2,1532481233,1.53249E+12
2,1532481233,1.53249E+12
2,1532481233,1.53249E+12
2,1532481233,1.53249E+12
2,1532481233,1.53249E+12
2,1532481233,1.53249E+12
2,1532481233,1.53249E+12
